Type,Summary,Description,Epic,Priority,State,Assignee,Sprint,Start Date,End Date,Estimation,Tags,Story Points,Acceptance Criteria,Technical Notes,Dependencies
Epic,S2-E01 Database Schema Ecommerce,"Crear estructura de base de datos para el módulo de ecommerce.",TierOne Project,Critical,To Do,Backend Dev,Sprint 2,26/01/2026,02/02/2026,0h,backend,0,Todas las historias completadas,-,-
User Story,S2-HU01 Crear Tablas Ecommerce,"Como backend dev, quiero crear todas las tablas necesarias para el ecommerce.",S2-E01 Database Schema Ecommerce,Critical,To Do,Backend Dev,Sprint 2,26/01/2026,02/02/2026,6h,backend,5,"Tablas productos, carritos, pedidos creadas",Usar migraciones de Laravel,-
Task,S2-T001 Migración Productos,"Crear migración create_productos_table con campos: nombre, descripcion, precio, stock, imagen_url, categoria_id, proveedor_id, activo.",S2-HU01 Crear Tablas Ecommerce,Critical,To Do,Backend Dev,Sprint 2,26/01/2026,27/01/2026,1h,backend,0,Migración ejecutada correctamente,Foreign keys a categorias y proveedores,-
Task,S2-T002 Migración Carritos,"Crear migración create_carritos_table con relación a users.",S2-HU01 Crear Tablas Ecommerce,Critical,To Do,Backend Dev,Sprint 2,26/01/2026,27/01/2026,0.5h,backend,0,Tabla carritos creada,Un carrito por usuario,S2-T001
Task,S2-T003 Migración Carrito Items,"Crear migración create_carrito_items_table con campos: carrito_id, producto_id, cantidad, precio_unitario.",S2-HU01 Crear Tablas Ecommerce,Critical,To Do,Backend Dev,Sprint 2,26/01/2026,27/01/2026,1h,backend,0,Tabla carrito_items creada,Foreign keys correctas,S2-T002
Task,S2-T004 Migración Pedidos,"Crear migración create_pedidos_table con campos: user_id, total, estado, direccion_envio.",S2-HU01 Crear Tablas Ecommerce,Critical,To Do,Backend Dev,Sprint 2,26/01/2026,27/01/2026,1h,backend,0,Tabla pedidos creada,Estado: enum(pendiente/procesando/enviado/entregado/cancelado),S2-T001
Task,S2-T005 Migración Pedido Items,"Crear migración create_pedido_items_table con campos: pedido_id, producto_id, cantidad, precio_unitario, subtotal.",S2-HU01 Crear Tablas Ecommerce,Critical,To Do,Backend Dev,Sprint 2,26/01/2026,27/01/2026,1h,backend,0,Tabla pedido_items creada,Snapshot de productos al momento de compra,S2-T004
Task,S2-T006 Migración Campo is_admin,"Agregar campo is_admin (boolean, default false) a tabla users.",S2-HU01 Crear Tablas Ecommerce,High,To Do,Backend Dev,Sprint 2,26/01/2026,27/01/2026,0.5h,backend,0,Campo is_admin agregado,Necesario para permisos de administrador,-
Task,S2-T007 Ejecutar Migraciones,"Ejecutar php artisan migrate y verificar que todas las tablas se crean sin errores.",S2-HU01 Crear Tablas Ecommerce,Critical,To Do,Backend Dev,Sprint 2,26/01/2026,27/01/2026,1h,backend,0,Base de datos actualizada,Verificar en MySQL,"S2-T001;S2-T002;S2-T003;S2-T004;S2-T005;S2-T006"
Epic,S2-E02 Modelos Eloquent,"Crear modelos con relaciones para el ecommerce.",TierOne Project,Critical,To Do,Backend Dev,Sprint 2,26/01/2026,02/02/2026,0h,backend,0,Todas las historias completadas,-,S2-E01
