Type       ,Summary                                  ,Description                                                                       ,Epic                              ,Priority ,State ,Assignee     ,Sprint     ,Estimation ,Tags       ,Story Points ,Acceptance Criteria                  ,Technical Notes                ,Dependencies
Epic       ,S1.5-E01 Entendimiento                   ,"Entender y documentar el código existente del Sprint 1."                         ,TierOne Project                   ,Critical ,To Do ,Full Stack   ,Sprint 1.5 ,0h         ,learning   ,           0 ,Todas las historias completadas      ,-                              ,-
User Story ,S1.5-HU01 Entender Base de Datos         ,"Como desarrollador, quiero entender cada tabla y relación de la base de datos."  ,S1.5-E01 Entendimiento            ,Critical ,To Do ,Full Stack   ,Sprint 1.5 ,4h         ,learning   ,           3 ,"Poder explicar qué hace cada tabla" ,-                              ,-
Task       ,S1.5-T001 Sesión Explicación Migraciones ,"Revisar juntos cada migración y explicar propósito de cada tabla."               ,S1.5-HU01 Entender Base de Datos  ,Critical ,To Do ,Full Stack   ,Sprint 1.5 ,2h         ,learning   ,           0 ,Entender todas las migraciones       ,Sesión en pareja               ,-
Task       ,S1.5-T002 Documentar Estructura Simple   ,"Crear docs/database/GUIDE.md con explicación simple de las tablas."              ,S1.5-HU01 Entender Base de Datos  ,High     ,To Do ,Full Stack   ,Sprint 1.5 ,2h         ,docs       ,           0 ,Documento claro y útil               ,Incluir ejemplos de queries    ,S1.5-T001
User Story ,S1.5-HU02 Completar Contratos API        ,"Como equipo, queremos tener documentados todos los endpoints con ejemplos JSON." ,S1.5-E01 Entendimiento            ,High     ,To Do ,Backend Dev  ,Sprint 1.5 ,4h         ,api-design ,           3 ,"Contratos completos y claros"       ,-                              ,-
Task       ,S1.5-T003 Revisar Contratos Existentes   ,"Ver qué hay en docs/api/ e identificar qué falta."                               ,S1.5-HU02 Completar Contratos API ,High     ,To Do ,Backend Dev  ,Sprint 1.5 ,1h         ,api-design ,           0 ,Lista de contratos faltantes         ,-                              ,-
Task       ,S1.5-T004 Contratos Auth                 ,"Documentar Request/Response de login y register con ejemplos JSON."              ,S1.5-HU02 Completar Contratos API ,High     ,To Do ,Backend Dev  ,Sprint 1.5 ,1h         ,api-design ,           0 ,Contratos Auth completos             ,Incluir ejemplo de token       ,S1.5-T003
Task       ,S1.5-T005 Contratos Torneos              ,"Documentar Request/Response de listar, detalle e inscripción."                   ,S1.5-HU02 Completar Contratos API ,High     ,To Do ,Backend Dev  ,Sprint 1.5 ,2h         ,api-design ,           0 ,Contratos Torneos completos          ,JSON de ejemplo                ,S1.5-T003
Epic       ,S1.5-E02 Mockups                         ,"Implementar diseños visuales del proyecto."                                      ,TierOne Project                   ,High     ,To Do ,Frontend Dev ,Sprint 1.5 ,0h         ,ui         ,           0 ,Todas las historias completadas      ,-                              ,-
User Story ,S1.5-HU03 Implementar Mockups            ,"Como frontend dev, quiero convertir los mockups en componentes React."           ,S1.5-E02 Mockups                  ,High     ,To Do ,Frontend Dev ,Sprint 1.5 ,11h        ,ui         ,           8 ,"Mockups implementados visualmente"  ,-                              ,-
Task       ,S1.5-T006 Subir Mockups al Proyecto      ,"Crear carpeta docs/mockups/ y añadir imágenes de mockups."                       ,S1.5-HU03 Implementar Mockups     ,Medium   ,To Do ,Frontend Dev ,Sprint 1.5 ,0.5h       ,ui         ,           0 ,Mockups en el proyecto               ,-                              ,-
Task       ,S1.5-T007 Implementar Landing Page       ,"Maquetar Landing según mockup (Hero, Features, Footer)."                         ,S1.5-HU03 Implementar Mockups     ,High     ,To Do ,Frontend Dev ,Sprint 1.5 ,4h         ,ui         ,           0 ,Landing Page visual                  ,Pixel-perfect según mockup     ,S1.5-T006
Task       ,S1.5-T008 Componente Tournament Card     ,"Crear componente <TournamentCard> según diseño mockup."                          ,S1.5-HU03 Implementar Mockups     ,High     ,To Do ,Frontend Dev ,Sprint 1.5 ,2h         ,ui         ,           0 ,Card visual funcional                ,Con datos dummy                ,S1.5-T006
Task       ,S1.5-T009 Layout Principal               ,"Implementar Navbar y Footer según mockup."                                       ,S1.5-HU03 Implementar Mockups     ,High     ,To Do ,Frontend Dev ,Sprint 1.5 ,3h         ,ui         ,           0 ,Layout completo                      ,Responsive                     ,S1.5-T006
Task       ,S1.5-T010 Página Torneos Visual          ,"Grid de torneos con filtros (solo visual, sin API)."                             ,S1.5-HU03 Implementar Mockups     ,Medium   ,To Do ,Frontend Dev ,Sprint 1.5 ,2h         ,ui         ,           0 ,Página visual terminada              ,Solo maquetación               ,S1.5-T008
Epic       ,S1.5-E03 Ejemplo Completo                ,"Crear un feature completo end-to-end para entender el flujo."                    ,TierOne Project                   ,Critical ,To Do ,Full Stack   ,Sprint 1.5 ,0h         ,backend    ,           0 ,Todas las historias completadas      ,-                              ,-
User Story ,S1.5-HU04 Primer Feature E2E             ,"Como desarrollador, quiero hacer un ejemplo completo Backend → API → Frontend."  ,S1.5-E03 Ejemplo Completo         ,Critical ,To Do ,Full Stack   ,Sprint 1.5 ,6h         ,backend    ,           5 ,"Feature /api/games funcionando"     ,-                              ,-
Task       ,S1.5-T011 Crear Modelo Game              ,"Crear app/Models/Game.php con explicación paso a paso."                          ,S1.5-HU04 Primer Feature E2E      ,Critical ,To Do ,Backend Dev  ,Sprint 1.5 ,1h         ,backend    ,           0 ,Modelo Game funcional                ,Definir relaciones             ,S1.5-T001
Task       ,S1.5-T012 Crear Seeder Game              ,"Insertar 5 juegos de prueba y ejecutar seeder."                                  ,S1.5-HU04 Primer Feature E2E      ,Critical ,To Do ,Backend Dev  ,Sprint 1.5 ,1h         ,backend    ,           0 ,5 juegos en base de datos            ,Datos reales visibles en MySQL ,S1.5-T011
Task       ,S1.5-T013 API Endpoint /api/games        ,"Crear GameController con index() y GameResource."                                ,S1.5-HU04 Primer Feature E2E      ,Critical ,To Do ,Backend Dev  ,Sprint 1.5 ,2h         ,backend    ,           0 ,GET /api/games funcional             ,Probar con Postman             ,"S1.5-T011;S1.5-T012"
Task       ,S1.5-T014 Consumir API desde React       ,"Crear hook useGames() y mostrar juegos en página."                               ,S1.5-HU04 Primer Feature E2E      ,High     ,To Do ,Frontend Dev ,Sprint 1.5 ,2h         ,frontend   ,           0 ,Juegos visibles en frontend          ,Console.log para debug         ,S1.5-T013
Epic       ,S1.5-E04 Project Review                  ,"Revisar proyecto completo y ajustar rumbo."                                      ,TierOne Project                   ,High     ,To Do ,Full Stack   ,Sprint 1.5 ,0h         ,planning   ,           0 ,Todas las historias completadas      ,-                              ,-
