Type       ,Summary                                    ,Description                                                                                                   ,Epic                             ,Priority ,State ,Assignee     ,Sprint   ,Estimation ,Tags     ,Story Points ,Acceptance Criteria                         ,Technical Notes                            ,Dependencies
Epic       ,S2-E00 Backend Foundation                  ,"Completar capa de backend faltante del Sprint 1. Crear modelos Eloquent, seeders y verificar autenticación." ,TierOne Project                  ,Critical ,To Do ,Backend Dev  ,Sprint 2 ,0h         ,backend  ,           0 ,Todas las historias completadas             ,-                                          ,-
User Story ,S2-HU00 Modelos Eloquent Core              ,"Como backend dev, quiero tener los modelos Eloquent básicos para poder implementar la API."                  ,S2-E00 Backend Foundation        ,Critical ,To Do ,Backend Dev  ,Sprint 2 ,8h         ,backend  ,           5 ,"Modelos creados con relaciones definidas"  ,-                                          ,-
Task       ,S2-T000 Crear Modelo Game                  ,"Crear app/Models/Game.php con relaciones hasMany(Tournament) y hasOne(ApiIntegration)."                      ,S2-HU00 Modelos Eloquent Core    ,Critical ,To Do ,Backend Dev  ,Sprint 2 ,1.5h       ,backend  ,           0 ,Modelo funcionando con relaciones           ,Definir $fillable y $casts                 ,-
Task       ,S2-T001 Crear Modelo Tournament            ,"Crear app/Models/Tournament.php con relaciones y scopes (active, upcoming)."                                 ,S2-HU00 Modelos Eloquent Core    ,Critical ,To Do ,Backend Dev  ,Sprint 2 ,2h         ,backend  ,           0 ,Modelo funcionando con relaciones           ,Scopes para filtrado                       ,S2-T000
Task       ,S2-T002 Crear Modelo Product               ,"Crear app/Models/Product.php con relaciones a Category, Supplier y Variant."                                 ,S2-HU00 Modelos Eloquent Core    ,High     ,To Do ,Backend Dev  ,Sprint 2 ,1.5h       ,backend  ,           0 ,Modelo funcionando con relaciones           ,-                                          ,-
Task       ,S2-T003 Crear Modelo Order                 ,"Crear app/Models/Order.php con relaciones y accessor para cálculo de total."                                 ,S2-HU00 Modelos Eloquent Core    ,High     ,To Do ,Backend Dev  ,Sprint 2 ,2h         ,backend  ,           0 ,Modelo funcionando con relaciones           ,Accessor getTotalAttribute()               ,-
Task       ,S2-T004 Verificar Sanctum End-to-End       ,"Crear ruta /api/test-auth protegida y verificar que login genera token válido."                              ,S2-HU00 Modelos Eloquent Core    ,Critical ,To Do ,Backend Dev  ,Sprint 2 ,1h         ,security ,           0 ,Autenticación funcionando                   ,Documentar proceso de auth                 ,-
User Story ,S2-HU01 Seeders de Datos                   ,"Como desarrollador, quiero tener datos de prueba en la base de datos para desarrollo y testing."             ,S2-E00 Backend Foundation        ,High     ,To Do ,Backend Dev  ,Sprint 2 ,6h         ,backend  ,           3 ,"Base de datos poblada con datos de prueba" ,-                                          ,-
Task       ,S2-T005 Seeder Games                       ,"Crear GameSeeder con 5 juegos: LoL, CS:GO, Valorant, Fortnite, Dota 2."                                      ,S2-HU01 Seeders de Datos         ,High     ,To Do ,Backend Dev  ,Sprint 2 ,1.5h       ,backend  ,           0 ,5 juegos insertados en DB                   ,Incluir imágenes y slugs                   ,S2-T000
Task       ,S2-T006 Seeder Products                    ,"Crear ProductSeeder con 10 productos ejemplo (merchandising)."                                               ,S2-HU01 Seeders de Datos         ,Medium   ,To Do ,Backend Dev  ,Sprint 2 ,2h         ,backend  ,           0 ,10 productos insertados                     ,Incluir variantes y precios                ,S2-T002
