Type      , Summary                                   , Description                                                                                                  , Epic                                      , Priority, State, Assignee     , Sprint  , Estimation, Tags      , Story Points, Acceptance Criteria                           , Technical Notes, Dependencies
Epic      , S0-E00 Análisis Funcional                 , "Fase de definición previa al código. Definir QUÉ vamos a construir."                                        , TierOne Project                           , Critical, To Do, Product Owner, Sprint 0, 0h        , analysis  ,            0, Todas las historias completadas               , -              , -
User Story, S0-HU01 Mapas de Navegación               , "Como Product Owner, quiero tener diagramas de flujo para entender cómo navega el usuario por la web."       , S0-E00 Análisis Funcional                 , Critical, To Do, Product Owner, Sprint 0, 8h        , analysis  ,            5, "Diagramas aprobados por todo el equipo"      , -              , -
Task      , S0-T001 Diagrama Flujo: Usuario Invitado  , "Dibujar navegación: Landing -> Login/Register -> Forgot Password."                                          , S0-HU01 Mapas de Navegación               , Critical, To Do, Product Owner, Sprint 0, 2h        , analysis  ,            0, Diagrama exportado a PNG/PDF                  , -              , -
Task      , S0-T002 Diagrama Flujo: Usuario Registrado, "Dibujar navegación: Dashboard -> Listado Torneos -> Detalle -> Inscripción."                                , S0-HU01 Mapas de Navegación               , Critical, To Do, Product Owner, Sprint 0, 2h        , analysis  ,            0, Incluir caminos alternativos                  , -              , S0-T001
Task      , S0-T003 Diagrama Flujo: Checkout          , "Dibujar paso a paso: Carrito -> Checkout -> Pasarela Stripe -> Retorno."                                    , S0-HU01 Mapas de Navegación               , Critical, To Do, Product Owner, Sprint 0, 2h        , analysis  ,            0, Flujo completo definido                       , -              , S0-T002
Task      , S0-T004 Diagrama Flujo: Admin             , "Dibujar navegación del panel de administración (CRUDs)."                                                    , S0-HU01 Mapas de Navegación               , High    , To Do, Product Owner, Sprint 0, 2h        , analysis  ,            0, CRUDs definidos                               , -              , S0-T002
User Story, S0-HU02 Modelo de Datos                   , "Como Backend Dev, quiero tener un esquema claro de la base de datos para no cometer errores al programar."  , S0-E00 Análisis Funcional                 , Critical, To Do, Backend Dev  , Sprint 0, 8h        , database  ,            5, "ERD definido con tipos de datos"             , -              , -
Task      , S0-T005 Diagrama ERD (Entidad-Relación)   , "Diseñar esquema visual de colecciones MongoDB (Users, Games, Tournaments, Orders)."                         , S0-HU02 Modelo de Datos                   , Critical, To Do, Backend Dev  , Sprint 0, 4h        , database  ,            0, "Definir relaciones (Embed vs Reference)"     , -              , S0-T002
Task      , S0-T006 Diccionario de Datos              , "Documento Excel definiendo restricciones (ej: password min 8 chars, email unique)."                         , S0-HU02 Modelo de Datos                   , High    , To Do, Backend Dev  , Sprint 0, 2h        , docs      ,            0, Vital para validaciones Zod/Laravel           , -              , S0-T005
Task      , S0-T007 Definición de Índices             , "Listar qué campos necesitan índice en Mongo (email, slug, dates)."                                          , S0-HU02 Modelo de Datos                   , Medium  , To Do, Backend Dev  , Sprint 0, 2h        , database  ,            0, Lista de índices optimizada                   , -              , S0-T005
User Story, S0-HU03 Contratos de API                  , "Como equipo, queremos definir el JSON exacto que enviará el Back y recibirá el Front antes de tirar código.", S0-E00 Análisis Funcional                 , Critical, To Do, Backend Dev  , Sprint 0, 6h        , api-design,            3, "Archivos JSON/YAML de ejemplo"               , -              , -
Task      , S0-T008 Contrato API: Auth                , "Definir Request/Response para /login, /register, /me."                                                      , S0-HU03 Contratos de API                  , Critical, To Do, Backend Dev  , Sprint 0, 2h        , api-design,            0, Swagger o Markdown                            , -              , S0-T006
Task      , S0-T009 Contrato API: Torneos             , "Definir estructura del objeto Tournament y lista de Participants."                                          , S0-HU03 Contratos de API                  , High    , To Do, Backend Dev  , Sprint 0, 2h        , api-design,            0, JSON Schema definido                          , -              , S0-T006
Task      , S0-T010 Contrato API: E-commerce          , "Definir estructura de Products y Orders."                                                                   , S0-HU03 Contratos de API                  , High    , To Do, Backend Dev  , Sprint 0, 2h        , api-design,            0, JSON Schema definido                          , -              , S0-T006
Epic      , S0-E01 Diseño UX/UI                       , "Fase creativa. Todo entra por los ojos."                                                                    , TierOne Project                           , Critical, To Do, Designer     , Sprint 0, 0h        , design    ,            0, Todas las historias completadas               , -              , -
User Story, S0-HU04 Identidad Visual                  , "Como marca, queremos tener colores y tipografías consistentes para transmitir profesionalidad."             , S0-E01 Diseño UX/UI                       , Critical, To Do, Designer     , Sprint 0, 6h        , design    ,            3, "Guía de estilos en Figma"                    , -              , -
Task      , S0-T011 Paleta de Colores                 , "Seleccionar y exportar códigos HEX para Primary, Secondary, Background, Surface, Error, Success."           , S0-HU04 Identidad Visual                  , Critical, To Do, Designer     , Sprint 0, 2h        , design    ,            0, Contrast check para accesibilidad             , -              , -
Task      , S0-T012 Tipografía                        , "Elegir fuentes para Títulos (Display) y Cuerpo (Body). Definir tamaños H1-H6."                              , S0-HU04 Identidad Visual                  , Critical, To Do, Designer     , Sprint 0, 2h        , design    ,            0, "Google Fonts (Inter/Roboto)"                 , -              , S0-T011
Task      , S0-T013 Iconografía                       , "Seleccionar set de iconos (Lucide, Heroicons, FontAwesome) que se usará en toda la app."                    , S0-HU04 Identidad Visual                  , High    , To Do, Designer     , Sprint 0, 2h        , design    ,            0, Set de iconos definido                        , -              , S0-T011
User Story, S0-HU05 Wireframes (Baja Fidelidad)       , "Como equipo, queremos ver la estructura de las páginas sin distraernos con colores."                        , S0-E01 Diseño UX/UI                       , High    , To Do, Designer     , Sprint 0, 8h        , design    ,            5, "Bocetos estructurales aprobados"             , -              , -
